===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2017-07-24 00:56:11
count workspace : c:\Users\Administrator\Desktop\ros-ws\navigation
total files : 334
total code lines : 47458
total comment lines : 29690
total blank lines : 6917

.gitignore, code is 3, comment is 0, blank is 1.
.travis.yml, code is 24, comment is 3, blank is 0.
.vs\navigation\v15\.suo, it is a binary file.
.vs\slnx.sqlite, it is a binary file.
.vs\VSWorkspaceState.json, code is 8, comment is 0, blank is 1.
amcl\amcl note, code is 14, comment is 0, blank is 1.
amcl\cfg\AMCL.cfg, code is 53, comment is 0, blank is 22.
amcl\CHANGELOG.rst, code is 69, comment is 3, blank is 16.
amcl\CMakeLists.txt, code is 123, comment is 9, blank is 19.
amcl\examples\amcl_diff.launch, code is 36, comment is 0, blank is 0.
amcl\examples\amcl_omni.launch, code is 36, comment is 0, blank is 0.
amcl\include\amcl\map\map.h, code is 40, comment is 67, blank is 43.
amcl\include\amcl\pf\eig3.h, code is 3, comment is 4, blank is 4.
amcl\include\amcl\pf\pf.h, code is 74, comment is 72, blank is 49.
amcl\include\amcl\pf\pf_kdtree.h, code is 34, comment is 46, blank is 29.
amcl\include\amcl\pf\pf_pdf.h, code is 35, comment is 57, blank is 29.
amcl\include\amcl\pf\pf_vector.h, code is 29, comment is 43, blank is 22.
amcl\include\amcl\sensors\amcl_laser.h, code is 76, comment is 53, blank is 27.
amcl\include\amcl\sensors\amcl_odom.h, code is 43, comment is 37, blank is 18.
amcl\include\amcl\sensors\amcl_sensor.h, code is 29, comment is 46, blank is 22.
amcl\package.xml, code is 12, comment is 0, blank is 0.
amcl\src\amcl\map\map.c, code is 35, comment is 32, blank is 17.
amcl\src\amcl\map\map_cspace.cpp, code is 174, comment is 27, blank is 32.
amcl\src\amcl\map\map_draw.c, code is 89, comment is 38, blank is 31.
amcl\src\amcl\map\map_range.c, code is 76, comment is 30, blank is 14.
amcl\src\amcl\map\map_store.c, code is 80, comment is 114, blank is 21.
amcl\src\amcl\pf\eig3.c, code is 205, comment is 27, blank is 40.
amcl\src\amcl\pf\pf.c, code is 387, comment is 135, blank is 140.
amcl\src\amcl\pf\pf_draw.c, code is 79, comment is 47, blank is 37.
amcl\src\amcl\pf\pf_kdtree.c, code is 253, comment is 132, blank is 101.
amcl\src\amcl\pf\pf_pdf.c, code is 88, comment is 80, blank is 41.
amcl\src\amcl\pf\pf_vector.c, code is 121, comment is 102, blank is 53.
amcl\src\amcl\sensors\amcl_laser.cpp, code is 323, comment is 62, blank is 96.
amcl\src\amcl\sensors\amcl_odom.cpp, code is 222, comment is 37, blank is 33.
amcl\src\amcl\sensors\amcl_odom.png, it is a binary file.
amcl\src\amcl\sensors\amcl_sensor.cpp, code is 35, comment is 14, blank is 16.
amcl\src\amcl_node.cpp, code is 1145, comment is 180, blank is 221.
amcl\test\basic_localization.py, code is 60, comment is 5, blank is 14.
amcl\test\basic_localization_stage.xml, code is 44, comment is 5, blank is 0.
amcl\test\global_localization_stage.xml, code is 44, comment is 5, blank is 0.
amcl\test\rosie_multilaser.xml, code is 44, comment is 5, blank is 0.
amcl\test\set_initial_pose.xml, code is 42, comment is 8, blank is 0.
amcl\test\set_initial_pose_delayed.xml, code is 43, comment is 11, blank is 0.
amcl\test\set_pose.py, code is 37, comment is 2, blank is 7.
amcl\test\small_loop_crazy_driving_prg.xml, code is 47, comment is 2, blank is 0.
amcl\test\small_loop_crazy_driving_prg_corrected.xml, code is 47, comment is 2, blank is 0.
amcl\test\small_loop_prf.xml, code is 44, comment is 2, blank is 0.
amcl\test\texas_greenroom_loop.xml, code is 37, comment is 0, blank is 0.
amcl\test\texas_greenroom_loop_corrected.xml, code is 37, comment is 0, blank is 0.
amcl\test\texas_willow_hallway_loop.xml, code is 37, comment is 10, blank is 1.
amcl\test\texas_willow_hallway_loop_corrected.xml, code is 37, comment is 0, blank is 0.
base_local_planner\blp_plugin.xml, code is 7, comment is 0, blank is 0.
base_local_planner\cfg\BaseLocalPlanner.cfg, code is 36, comment is 0, blank is 21.
base_local_planner\cfg\LocalPlannerLimits.cfg, code is 7, comment is 0, blank is 3.
base_local_planner\CHANGELOG.rst, code is 36, comment is 2, blank is 8.
base_local_planner\CMakeLists.txt, code is 128, comment is 0, blank is 18.
base_local_planner\include\base_local_planner\costmap_model.h, code is 19, comment is 73, blank is 8.
base_local_planner\include\base_local_planner\footprint_helper.h, code is 22, comment is 56, blank is 9.
base_local_planner\include\base_local_planner\goal_functions.h, code is 43, comment is 100, blank is 12.
base_local_planner\include\base_local_planner\latched_stop_rotate_controller.h, code is 56, comment is 22, blank is 17.
base_local_planner\include\base_local_planner\line_iterator.h, code is 96, comment is 60, blank is 18.
base_local_planner\include\base_local_planner\local_planner_limits.h, code is 73, comment is 44, blank is 11.
base_local_planner\include\base_local_planner\local_planner_util.h, code is 38, comment is 44, blank is 30.
base_local_planner\include\base_local_planner\map_cell.h, code is 15, comment is 48, blank is 8.
base_local_planner\include\base_local_planner\map_grid.h, code is 53, comment is 120, blank is 29.
base_local_planner\include\base_local_planner\map_grid_cost_function.h, code is 40, comment is 81, blank is 18.
base_local_planner\include\base_local_planner\map_grid_cost_point.h, code is 24, comment is 33, blank is 3.
base_local_planner\include\base_local_planner\map_grid_visualizer.h, code is 23, comment is 50, blank is 7.
base_local_planner\include\base_local_planner\obstacle_cost_function.h, code is 34, comment is 43, blank is 12.
base_local_planner\include\base_local_planner\odometry_helper_ros.h, code is 26, comment is 54, blank is 13.
base_local_planner\include\base_local_planner\oscillation_cost_function.h, code is 25, comment is 47, blank is 17.
base_local_planner\include\base_local_planner\planar_laser_scan.h, code is 14, comment is 40, blank is 3.
base_local_planner\include\base_local_planner\point_grid.h, code is 121, comment is 212, blank is 33.
base_local_planner\include\base_local_planner\prefer_forward_cost_function.h, code is 18, comment is 36, blank is 10.
base_local_planner\include\base_local_planner\simple_scored_sampling_planner.h, code is 22, comment is 71, blank is 17.
base_local_planner\include\base_local_planner\simple_trajectory_generator.h, code is 57, comment is 84, blank is 20.
base_local_planner\include\base_local_planner\trajectory.h, code is 24, comment is 86, blank is 14.
base_local_planner\include\base_local_planner\trajectory_cost_function.h, code is 22, comment is 51, blank is 13.
base_local_planner\include\base_local_planner\trajectory_inc.h, code is 10, comment is 36, blank is 4.
base_local_planner\include\base_local_planner\trajectory_planner.h, code is 127, comment is 250, blank is 49.
base_local_planner\include\base_local_planner\trajectory_planner_ros.h, code is 84, comment is 124, blank is 35.
base_local_planner\include\base_local_planner\trajectory_sample_generator.h, code is 14, comment is 50, blank is 11.
base_local_planner\include\base_local_planner\trajectory_search.h, code is 13, comment is 48, blank is 10.
base_local_planner\include\base_local_planner\velocity_iterator.h, code is 47, comment is 42, blank is 9.
base_local_planner\include\base_local_planner\voxel_grid_model.h, code is 71, comment is 90, blank is 19.
base_local_planner\include\base_local_planner\world_model.h, code is 40, comment is 60, blank is 11.
base_local_planner\msg\Position2DInt.msg, code is 2, comment is 0, blank is 0.
base_local_planner\package.xml, code is 5, comment is 0, blank is 1.
base_local_planner\setup.py, code is 7, comment is 1, blank is 2.
base_local_planner\src\costmap_model.cpp, code is 63, comment is 53, blank is 26.
base_local_planner\src\footprint_helper.cpp, code is 169, comment is 74, blank is 29.
base_local_planner\src\goal_functions.cpp, code is 173, comment is 49, blank is 33.
base_local_planner\src\latched_stop_rotate_controller.cpp, code is 193, comment is 39, blank is 44.
base_local_planner\src\local_planner_limits\.gitignore, code is 1, comment is 0, blank is 0.
base_local_planner\src\local_planner_limits\__init__.py, code is 19, comment is 15, blank is 11.
base_local_planner\src\local_planner_util.cpp, code is 68, comment is 41, blank is 20.
base_local_planner\src\map_cell.cpp, code is 15, comment is 33, blank is 4.
base_local_planner\src\map_grid.cpp, code is 223, comment is 46, blank is 42.
base_local_planner\src\map_grid_cost_function.cpp, code is 77, comment is 41, blank is 13.
base_local_planner\src\map_grid_visualizer.cpp, code is 44, comment is 33, blank is 7.
base_local_planner\src\obstacle_cost_function.cpp, code is 79, comment is 44, blank is 21.
base_local_planner\src\odometry_helper_ros.cpp, code is 46, comment is 41, blank is 11.
base_local_planner\src\oscillation_cost_function.cpp, code is 114, comment is 44, blank is 20.
base_local_planner\src\point_grid.cpp, code is 434, comment is 134, blank is 118.
base_local_planner\src\prefer_forward_cost_function.cpp, code is 13, comment is 9, blank is 6.
base_local_planner\src\simple_scored_sampling_planner.cpp, code is 94, comment is 40, blank is 12.
base_local_planner\src\simple_trajectory_generator.cpp, code is 174, comment is 78, blank is 31.
base_local_planner\src\trajectory.cpp, code is 39, comment is 33, blank is 8.
base_local_planner\src\trajectory_planner.cpp, code is 658, comment is 205, blank is 156.
base_local_planner\src\trajectory_planner_ros.cpp, code is 387, comment is 103, blank is 108.
base_local_planner\src\voxel_grid_model.cpp, code is 186, comment is 83, blank is 42.
base_local_planner\test\footprint_helper_test.cpp, code is 99, comment is 17, blank is 29.
base_local_planner\test\gtest_main.cpp, code is 7, comment is 6, blank is 5.
base_local_planner\test\line_iterator_test.cpp, code is 48, comment is 28, blank is 5.
base_local_planner\test\map_grid_test.cpp, code is 132, comment is 6, blank is 24.
base_local_planner\test\trajectory_generator_test.cpp, code is 12, comment is 6, blank is 8.
base_local_planner\test\utest.cpp, code is 137, comment is 51, blank is 30.
base_local_planner\test\velocity_iterator_test.cpp, code is 125, comment is 36, blank is 18.
base_local_planner\test\wavefront_map_accessor.h, code is 30, comment is 11, blank is 9.
carrot_planner\bgp_plugin.xml, code is 7, comment is 0, blank is 0.
carrot_planner\CHANGELOG.rst, code is 36, comment is 0, blank is 14.
carrot_planner\CMakeLists.txt, code is 41, comment is 0, blank is 9.
carrot_planner\include\carrot_planner\carrot_planner.h, code is 30, comment is 68, blank is 9.
carrot_planner\package.xml, code is 32, comment is 2, blank is 9.
carrot_planner\src\carrot_planner.cpp, code is 101, comment is 41, blank is 30.
clear_costmap_recovery\ccr_plugin.xml, code is 7, comment is 0, blank is 0.
clear_costmap_recovery\CHANGELOG.rst, code is 50, comment is 0, blank is 15.
clear_costmap_recovery\clearCostMapRecovery-note.txt, code is 1, comment is 0, blank is 0.
clear_costmap_recovery\CMakeLists.txt, code is 56, comment is 0, blank is 13.
clear_costmap_recovery\include\clear_costmap_recovery\clear_costmap_recovery.h, code is 26, comment is 57, blank is 4.
clear_costmap_recovery\package.xml, code is 30, comment is 0, blank is 8.
clear_costmap_recovery\src\clear_costmap_recovery.cpp, code is 94, comment is 38, blank is 26.
clear_costmap_recovery\test\clear_tester.cpp, code is 69, comment is 0, blank is 23.
clear_costmap_recovery\test\clear_tests.launch, code is 6, comment is 0, blank is 0.
clear_costmap_recovery\test\params.yaml, code is 13, comment is 0, blank is 0.
costmap_2d\cfg\Costmap2D.cfg, code is 17, comment is 0, blank is 6.
